Summary,Issue Type,Status,Priority,Story Points,Start Date,End Date,Duration,Sprint,Assignee,Labels,Description
"Integrate Gemini API (Mock)",Task,Done,Critical,8,2024-11-05,2024-11-11,7,"Sprint 3","Backend Developer","api,gemini,mock,integration","Create GeminiApiService interface and MockGeminiApiService implementation"
"Build Text Summarization Use Case",Task,Done,Critical,8,2024-11-08,2024-11-14,7,"Sprint 3","Backend Developer","usecase,summarization,flow,repository","Implement SummarizeTextUseCase with 6 personas and error handling"
"Implement PDF Processing",Task,Done,High,13,2024-11-12,2024-11-22,11,"Sprint 3-4","Backend Developer","pdf,pdfbox,extraction,document","Integrate PDFBox Android 2.0.27.0 for PDF text extraction"
"PDF Processing Runtime Crash",Bug,Done,Blocker,2,2024-11-18,2024-11-19,2,"Sprint 3","Backend Developer","bug,pdf,dependency,blocker,fixed","NoClassDefFoundError - missing PDFBox dependency in build.gradle"
"ProGuard Strips PDFBox Classes",Bug,Done,Critical,1,2024-11-19,2024-11-19,1,"Sprint 3","Lead Developer","bug,proguard,pdfbox,critical,fixed","Release APK crashes - added ProGuard keep rules for PDFBox"
"Implement OCR with ML Kit",Task,Done,High,13,2024-11-19,2024-11-29,11,"Sprint 4","Mobile Developer","ocr,ml-kit,camerax,text-recognition","Integrate CameraX 1.4.0 and ML Kit Text Recognition 19.0.1"
"ML Kit Not Recognizing Text",Bug,Done,High,2,2024-11-26,2024-11-27,2,"Sprint 4","Mobile Developer","bug,ml-kit,rotation,high,fixed","Image rotation not handled - fixed with InputImage rotation parameter"
"Write Unit Tests for Use Cases",Task,Done,High,8,2024-11-26,2024-12-03,8,"Sprint 5","QA Engineer","testing,unit-tests,junit,mockk","Write tests for SummarizeTextUseCase, ProcessPdfUseCase, GetSummaryHistoryUseCase"
"Add Integration Tests",Task,In Progress,Medium,8,2024-12-02,2024-12-09,8,"Sprint 5","QA Engineer","testing,integration-tests,repository","Repository tests with Room, ViewModel tests with fakes - 60% complete"
"Network Timeout on Large PDFs",Bug,Done,High,2,2024-12-04,2024-12-05,2,"Sprint 5","Backend Developer","bug,network,timeout,high,fixed","PDFs >20 pages timeout - increased OkHttp timeout to 60s"
"Memory Leak in Processing Screen",Bug,Done,Critical,3,2024-12-06,2024-12-07,2,"Sprint 5","Frontend Developer","bug,memory-leak,viewmodel,critical,fixed","ViewModel not released - fixed with proper NavBackStackEntry scoping"
"Implement Draft Auto-Save",Feature,Done,Medium,5,2024-12-10,2024-12-13,4,"Sprint 6","Frontend Developer","feature,draft,auto-save,datastore","Add DraftManager with 2-second debounce and recovery dialog"
"Add Swipe-to-Delete in History",Feature,Done,Medium,3,2024-12-12,2024-12-13,2,"Sprint 6","Frontend Developer","feature,history,swipe,gesture","Implement swipe-to-delete using me.saket.swipe library"
"No Readable Text Found in PDF",Bug,Done,High,2,2024-12-13,2024-12-14,2,"Sprint 6","Backend Developer","bug,pdf,text-extraction,high,fixed","Aggressive text cleaning removing content - improved cleaning function and reduced threshold to 20 chars"
"DNS Resolution Failure",Bug,Done,Blocker,3,2024-12-14,2024-12-16,3,"Sprint 6","Lead Developer","bug,network,dns,blocker,fixed","UnknownHostException on Android 9+ Private DNS - added custom DNS resolver and network security config"
"Configure ProGuard for Release",Task,Done,Critical,5,2024-12-17,2024-12-19,3,"Sprint 7","Lead Developer","production,proguard,r8,minification","Add comprehensive ProGuard rules for PDFBox, Retrofit, Room, Hilt"
"Build and Test Release APK",Task,Done,Critical,3,2024-12-19,2024-12-20,2,"Sprint 7","Lead Developer","production,release,apk,testing","Build prod release APK and test on physical devices - verified no crashes"
"Create Build Flavors APKs",Task,Done,High,2,2024-12-20,2024-12-20,1,"Sprint 7","Lead Developer","production,build,flavors,apk","Build dev-debug, staging-release, prod-release APKs - all working"
"Write Documentation",Task,Done,High,5,2024-12-18,2024-12-23,6,"Sprint 7","Technical Writer","documentation,readme,guide","Create 7 main documents + 22 Mermaid diagrams - comprehensive docs complete"
